,highly_variable
RP1-202O8.2,False
TNFRSF25,False
PLEKHG5,False
NOL9,False
TAS1R1,False
ZBTB48,False
KLHL21,False
PHF13,False
THAP3,False
DNAJC11,False
RP11-242F24.1,False
RP11-312B8.1,False
CAMTA1,False
RP11-338N10.1,False
RP11-338N10.2,False
RP11-338N10.3,False
VAMP3,False
PER3,False
RP3-467L1.4,False
UTS2,True
TNFRSF9,False
PARK7,False
ERRFI1,False
RP11-431K24.1,False
RP11-431K24.4,False
SLC45A1,False
RERE,False
RP5-1115A15.1,False
RP4-633I8.4,False
ENO1,False
ENO1-AS1,False
CA6,False
SLC2A7,False
SLC2A5,False
GPR157,False
RP3-510D11.1,False
RP3-510D11.2,False
H6PD,False
SPSB1,False
SLC25A33,False
TMEM201,False
PIK3CD,False
C1orf200,False
RP11-558F24.4,False
CLSTN1,False
CTNNBIP1,False
RP11-84A14.5,False
LZIC,False
NMNAT1,False
RBP7,True
UBE4B,False
KIF1B,False
PGD,False
RP4-736L20.3,False
APITD1,False
APITD1-CORT,False
CORT,False
DFFA,False
RP5-1113E3.3,False
PEX14,False
CASZ1,True
RP4-734G22.3,False
C1orf127,False
TARDBP,False
MASP2,False
RP4-635E18.8,True
SRM,False
EXOSC10,False
RP4-635E18.7,False
RP4-635E18.6,False
MTOR,False
MTOR-AS1,False
ANGPTL7,False
UBIAD1,False
PTCHD2,False
RP1-69M21.2,False
FBXO2,False
FBXO44,False
FBXO6,True
MAD2L2,False
DRAXIN,True
AGTRAP,True
C1orf167,False
RP11-56N19.5,False
MTHFR,False
CLCN6,False
NPPA-AS1,False
NPPA,False
KIAA2013,False
PLOD1,False
MFN2,False
MIIP,False
TNFRSF8,False
TNFRSF1B,True
VPS13D,False
RP5-888M10.2,False
DHRS3,False
RP11-474O21.5,False
C1orf158,False
HNRNPCL1,False
LRRC38,False
PDPN,False
PRDM2,False
KAZN,False
TMEM51,False
FHAD1,False
RP3-467K16.2,False
RP3-467K16.7,False
RP3-467K16.4,True
EFHD2,True
CTRC,False
CELA2A,False
CELA2B,False
CASP9,False
DNAJC16,False
RP4-680D5.8,False
AGMAT,False
RP4-680D5.2,False
DDI2,False
RP4-680D5.9,False
PLEKHM2,False
RP11-288I21.1,False
SLC25A34,False
TMEM82,False
FBLIM1,True
RP11-169K16.9,False
SPEN,False
ZBTB17,False
C1orf64,False
CLCNKA,False
CLCNKB,False
FAM131C,False
EPHA2,False
RP11-276H7.2,False
RP11-276H7.3,False
ARHGEF19-AS1,False
ARHGEF19,False
C1orf134,False
RSG1,False
FBXO42,False
SZRD1,False
SPATA21,False
NECAP2,False
RP4-798A10.2,False
RP4-798A10.7,False
RP4-798A10.4,False
U1,False
NBPF1,False
RP5-1182A14.5,False
CROCCP2,False
CROCC,False
RP11-108M9.2,False
U1-1,False
RP11-108M9.4,False
RP11-108M9.6,False
MFAP2,False
RP1-37C10.3,False
ATP13A2,False
SDHB,False
PADI2,False
RP11-380J14.1,False
PADI4,False
AC004824.2,False
RP1-20B21.4,False
RCC2,False
ARHGEF10L,False
ACTL8,False
IGSF21,False
KLHDC7A,False
ALDH4A1,False
IFFO2,False
UBR4,False
RP1-43E13.2,False
EMC1,False
MRTO4,False
AKR7A3,False
AKR7A2,False
PQLC2,False
CAPZB,False
RP5-1056L3.1,False
MINOS1-NBL1,False
MINOS1,False
NBL1,False
HTR6,False
TMCO4,False
OTUD3,False
PLA2G5,False
PLA2G2D,False
PLA2G2F,False
RP3-340N1.2,False
PLA2G2C,False
UBXN10-AS1,False
UBXN10,False
VWA5B1,False
RP4-745E8.2,False
LINC01141,False
CAMK2N1,False
MUL1,False
CDA,True
PINK1,False
PINK1-AS,False
DDOST,False
KIF17,False
SH2D5,False
RP5-930J4.2,False
HP1BP3,False
RP5-930J4.4,False
EIF4G3,False
ECE1,False
RP3-329E20.2,False
RP5-1071N3.1,False
NBPF3,False
ALPL,False
RAP1GAP,False
USP48,False
LDLRAD2,False
HSPG2,False
RP1-224A6.3,False
LINC00339,False
CDC42,False
RP1-224A6.9,False
WNT4,False
ZBTB40,False
EPHA8,False
C1QA,True
C1QC,False
C1QB,False
EPHB2,False
RP1-74M1.3,False
C1orf234,False
KDM1A,False
RP1-184J9.2,False
LUZP1,False
HTR1D,False
RP5-1057J7.6,False
HNRNPR,False
ZNF436,False
C1orf213,False
RP5-1057J7.7,False
TCEA3,False
ASAP3,False
E2F2,False
RP1-150O5.3,False
ID3,True
MDS2,False
RPL11,False
TCEB3,False
RP5-886K2.3,False
PITHD1,False
LYPLA2,False
GALE,False
HMGCL,False
FUCA1,False
CNR2,True
RP11-4M23.3,False
PNRC2,False
SRSF10,False
MYOM3,False
IL22RA1,False
IFNLR1,False
RP11-10N16.2,False
GRHL3,False
STPG1,False
NIPAL3,False
RCAN3,False
RP4-594I10.3,False
NCMAP,False
SRRM1,False
CLIC4,False
RUNX3,True
RP11-84D1.1,False
RP11-84D1.2,False
RP4-799D16.1,False
RP4-706G24.1,False
SYF2,False
C1orf63,False
RP3-465N24.6,False
RHD,False
TMEM50A,False
RHCE,False
TMEM57,False
LDLRAP1,False
RP11-70P17.1,False
MAN1C1,False
RP1-187B23.1,False
SEPN1,False
RP1-317E23.3,False
MTFR1L,False
AL020996.1,False
AUNIP,False
RP1-125I3.2,False
PAQR7,True
STMN1,True
PAFAH2,True
EXTL1,False
SLC30A2,False
TRIM63,False
PDIK1L,False
FAM110D,False
ZNF593,False
RP11-96L14.7,False
CNKSR1,False
CATSPER4,False
CEP85,False
SH3BGRL3,False
UBXN11,False
CD52,False
AIM1L,False
ZNF683,True
LIN28A,False
DHDDS,False
RP3-476K8.3,False
HMGN2,False
RPS6KA1,False
RP5-968P14.2,False
ARID1A,False
PIGV,False
ZDHHC18,False
SFN,False
RP1-50O24.6,False
GPN2,False
GPATCH3,False
NUDC,False
NR0B2,False
C1orf172,False
TRNP1,False
FAM46B,False
SLC9A1,False
RP11-40H20.4,False
WDTC1,False
TMEM222,False
SYTL1,False
MAP3K6,False
FCN3,False
CD164L2,False
GPR3,False
WASF2,False
RP4-752I6.1,False
RP1-159A19.4,False
AHDC1,True
FGR,True
RP11-288L9.1,False
IFI6,True
RP11-288L9.4,False
FAM76A,True
STX12,False
PPP1R8,False
AL109927.1,False
THEMIS2,False
RPA2,False
SMPDL3B,False
RP11-460I13.2,False
XKR8,False
EYA3,False
PTAFR,False
DNAJC8,False
AL353354.2,False
ATPIF1,False
RP5-1092A3.4,False
RP5-1092A3.5,False
SESN2,False
MED18,False
PHACTR4,True
RCC1,False
TRNAU1AP,False
SNHG12,False
TAF12,False
RAB42,False
RP11-442N24__B.1,False
RNU11,False
GMEB1,False
YTHDF2,False
RP1-212P9.2,False
RP1-212P9.3,False
EPB41,False
TMEM200B,False
RP11-242O24.3,False
SRSF4,False
RP11-242O24.5,False
MECR,False
RP11-467D18.2,False
PTPRU,False
MATN1,False
MATN1-AS1,False
LAPTM5,False
SDC3,False
PUM1,False
NKAIN1,False
SNRNP40,False
ZCCHC17,False
RP11-266K22.2,False
FABP3,False
SERINC2,False
AC114494.1,False
RP11-439L8.3,False
RP11-439L8.4,False
TINAGL1,False
HCRTR1,False
PEF1,False
RP11-73M7.6,False
RP11-73M7.9,False
COL16A1,False
BAI2,False
RP11-84A19.3,False
SPOCD1,False
RP11-84A19.2,False
RP11-84A19.4,False
PTP4A2,False
AL136115.1,False
RP4-534N18.2,False
KHDRBS1,False
RP11-277A4.4,False
TMEM39B,False
KPNA6,False
TXLNA,False
CCDC28B,False
RP4-622L5.7,False
IQCC,False
DCDC2B,False
TMEM234,False
EIF3I,False
FAM167B,False
LCK,False
HDAC1,False
MARCKSL1,False
RP4-811H24.9,False
TSSK3,False
FAM229A,False
BSDC1,False
ZBTB8B,False
ZBTB8A,True
ZBTB8OS,False
RBBP4,False
SYNC,True
RP11-114B7.6,False
KIAA1522,False
YARS,False
S100PBP,False
FNDC5,False
HPCA,False
TMEM54,False
RNF19B,False
FKSG48,False
RP1-117O3.2,False
AK2,False
ADC,False
TRIM62,False
ZNF362,False
RP11-415J8.7,False
RP11-415J8.3,False
PHC2,False
RP11-415J8.5,False
ZSCAN20,False
CSMD2,False
HMGB4,False
RP5-1007G16.1,False
SMIM12,False
GJA4,False
RP5-997D16.2,False
DLGAP3,False
RP11-244H3.4,False
ZMYM6NB,False
ZMYM6,False
ZMYM1,False
SFPQ,False
ZMYM4,False
ZMYM4-AS1,False
KIAA0319L,False
NCDN,False
RP4-728D4.2,True
TFAP2E,False
PSMB2,False
C1orf216,False
CLSPN,False
RP11-435D7.3,False
AGO4,False
AGO1,False
RP4-789D17.5,False
AGO3,False
RP4-665N4.8,False
TEKT2,False
ADPRHL2,False
COL8A2,False
TRAPPC3,False
MAP7D1,False
THRAP3,False
SH3D21,False
EVA1B,False
RP11-268J15.5,False
STK40,False
LSM10,False
OSCP1,False
MRPS15,False
CSF3R,True
GRIK3,False
RP5-1180C18.1,False
LINC01137,False
ZC3H12A,False
MEAF6,False
SNIP1,False
DNALI1,False
GNL2,False
RSPO1,False
C1orf109,False
CDCA8,False
EPHA10,False
MANEAL,False
RP11-109P14.9,False
YRDC,False
C1orf122,False
MTF1,False
RP11-109P14.10,False
INPP5B,False
SF3A3,False
FHL3,True
UTP11L,False
POU3F1,False
RP5-884C9.2,False
RP11-329N22.1,False
RRAGC,False
RP5-864K19.4,False
MYCBP,False
RHBDL2,False
AKIRIN1,False
NDUFS5,False
MACF1,False
RP11-420K8.1,False
KIAA0754,True
BMP8A,False
RP11-69E11.4,False
PABPC4,False
RP11-69E11.8,False
HEYL,False
NT5C1A,False
HPCAL4,False
PPIE,False
BMP8B,False
OXCT2,False
RP1-118J21.25,False
TRIT1,False
MYCL,False
RP1-118J21.5,False
MFSD2A,False
CAP1,False
PPT1,False
RLF,False
TMCO2,False
RP1-39G22.7,False
ZMPSTE24,False
COL9A2,False
SMAP2,False
ZFP69B,False
ZFP69,False
RP11-656D10.3,False
EXO5,False
RP11-656D10.5,False
RP11-656D10.6,False
ZNF684,False
RIMS3,False
NFYC-AS1,False
NFYC,False
KCNQ4,False
CITED4,False
RP5-1066H13.4,False
CTPS1,False
SLFNL1,False
SCMH1,False
RP11-399E6.1,False
FOXO6,False
RP11-399E6.4,False
EDN2,False
HIVEP3,False
GUCA2B,False
GUCA2A,False
FOXJ3,False
RIMKLA,False
ZMYND12,False
PPCS,False
CCDC30,False
PPIH,False
RP5-994D16.3,False
YBX1,False
CLDN19,False
LEPRE1,False
C1orf50,False
RP5-994D16.9,False
CCDC23,False
ERMAP,False
RP11-342M1.3,False
ZNF691,False
SLC2A1,False
SLC2A1-AS1,False
FAM183A,False
EBNA1BP2,False
WDR65,False
TMEM125,False
C1orf210,False
TIE1,False
MPL,False
RP1-92O14.3,False
CDC20,False
ELOVL1,False
MED8,False
RP1-92O14.6,False
SZT2,False
SZT2-AS1,False
HYI,False
HYI-AS1,False
PTPRF,False
KDM4A,False
KDM4A-AS1,False
ST3GAL3,False
RP11-184I16.4,False
ARTN,False
RP11-7O11.3,False
IPO13,False
DPH2,False
ATP6V0B,False
B4GALT2,False
CCDC24,False
SLC6A9,False
RP5-1198O20.4,False
KLF17,False
DMAP1,False
ERI3,False
RNF220,False
TMEM53,False
C1orf228,False
KIF2C,False
RP11-269F19.2,False
RPS8,False
BEST4,False
PLK3,False
TCTEX1D4,False
BTBD19,False
PTCH2,False
EIF2B3,False
HECTD3,False
UROD,False
ZSWIM5,False
HPDL,False
MUTYH,False
TOE1,False
TESK2,False
CCDC163P,False
MMACHC,False
PRDX1,False
AKR1A1,False
NASP,False
CCDC17,False
GPBP1L1,False
TMEM69,False
IPP,False
MAST2,False
PIK3R3,True
RP4-533D7.4,False
RP4-533D7.5,False
TSPAN1,False
POMGNT1,False
LURAP1,False
RAD54L,False
LRRC41,False
UQCRH,False
NSUN4,False
FAAH,False
RP5-1109J22.2,False
LINC00505,False
DMBX1,False
MKNK1-AS1,False
KNCN,False
MKNK1,False
MOB3C,False
ATPAF1,False
EFCAB14,False
TEX38,False
EFCAB14-AS1,False
CYP4B1,False
CYP4X1,False
CYP4A22-AS1,False
LINC00853,False
PDZK1IP1,False
TAL1,False
RP1-18D14.7,False
STIL,False
CMPK1,False
RP11-511I2.2,False
FOXE3,False
FOXD2-AS1,False
FOXD2,False
RP11-330M19.1,False
SLC5A9,False
RP5-1024N4.4,False
SPATA6,False
AGBL4,False
BEND5,False
ELAVL4,False
RP11-567C20.3,False
DMRTA2,False
RP5-850O15.4,False
FAF1,False
RP5-850O15.3,False
CDKN2C,False
RP11-296A18.3,False
RNF11,False
RP11-296A18.6,False
TTC39A,False
RP11-275F13.1,False
EPS15,False
RP11-253A20.1,False
RP11-191G24.1,False
OSBPL9,False
NRD1,False
RP4-657D16.3,False
RP4-657D16.6,False
RAB3B,False
TXNDC12,False
KTI12,False
RP11-91A18.4,False
TXNDC12-AS1,False
BTF3L4,False
ZFYVE9,False
CC2D1B,False
RP11-155O18.6,False
ORC1,False
PRPF38A,False
ZCCHC11,False
RP11-25O10.2,False
GPX7,False
FAM159A,False
COA7,False
ZYG11B,False
ZYG11A,False
RP4-631H13.2,False
ECHDC2,False
SCP2,False
PODN,False
RP11-334A14.5,False
SLC1A7,True
RP11-334A14.8,False
CPT2,False
RP5-1024G6.2,False
C1orf123,False
RP5-1024G6.7,False
MAGOH,False
RP5-1024G6.5,False
RP5-1024G6.8,False
LRP8,False
RP4-784A16.1,False
RP4-784A16.2,False
RP4-784A16.5,False
RP11-117D22.2,False
GLIS1,False
NDC1,False
YIPF1,False
DIO1,False
HSPB11,False
LRRC42,False
LDLRAD1,False
RP4-758J24.5,False
TMEM59,False
TCEANC2,False
AL161915.1,False
CDCP2,False
RP11-446E24.4,False
AL357673.1,False
CYB5RL,False
MRPL37,False
SSBP3,True
SSBP3-AS1,False
RP5-997D24.3,False
ACOT11,False
FAM151A,False
MROH7-TTC4,False
MROH7,False
TTC4,False
PARS2,False
TTC22,False
RP11-67L3.2,False
C1orf177,False
DHCR24,False
RP11-67L3.5,False
RP11-67L3.4,False
TMEM61,False
BSND,False
PCSK9,False
USP24,False
RP11-101C11.1,False
RP11-90C4.1,False
RP11-504A18.1,False
PPAP2B,False
PRKAA2,False
C8A,False
C8B,False
DAB1,False
RP6-102O10.1,False
DAB1-AS1,False
OMA1,False
TACSTD2,False
MYSM1,False
JUN,True
LINC01135,False
RP11-63G10.3,False
RP11-63G10.2,False
RP4-794H19.1,False
RP4-794H19.4,False
RP11-145M4.2,False
RP11-145M4.3,False
RP11-467C18.1,False
FGGY,False
RP4-782L23.2,False
RP4-782L23.1,False
HOOK1,False
CYP2J2,False
C1orf87,False
RP11-776H12.1,False
RP11-436K8.1,False
NFIA,False
RP4-668G5.1,False
RP5-833A20.1,False
TM2D1,False
RP11-430G17.3,False
INADL,False
L1TD1,False
KANK4,False
USP1,False
DOCK7,False
ANGPTL3,False
AL138847.1,False
RP11-230B22.1,False
ATG4C,False
RP4-771M4.3,False
RP11-335E6.2,False
RP11-335E6.3,False
RP4-792G4.2,False
ALG6,False
ITGB3BP,False
EFCAB7,False
DLEU2L,False
PGM1,False
ROR1,False
RP11-24J23.2,False
CACHD1,False
RAVER2,False
JAK1,False
RP11-182I10.3,False
RP4-535B20.4,False
RP4-535B20.1,False
AK4,False
DNAJC6,False
LEPR,False
LEPROT,False
PDE4B,False
SGIP1,False
AL139147.1,False
TCTEX1D1,False
INSL5,False
WDR78,False
MIER1,False
SLC35D1,False
C1orf141,False
IL23R,False
IL12RB2,False
SERBP1,False
GADD45A,False
GNG12,False
GNG12-AS1,False
DIRAS3,False
WLS,False
DEPDC1,False
RP4-694A7.4,False
LRRC7,True
RP11-181B18.1,False
LRRC40,False
SRSF11,False
RP4-677H15.4,False
ANKRD13C,False
HHLA3,False
RP11-180O5.2,False
CTH,False
RP11-42O15.3,False
PTGER3,False
RP3-333A15.1,False
ZRANB2-AS1,False
ZRANB2,False
RP11-386O9.2,False
NEGR1,False
RP4-660H19.1,False
RP4-598G3.1,False
LRRIQ3,False
FPGT,False
FPGT-TNNI3K,False
TNNI3K,False
RP11-439H8.4,False
RP4-650F12.2,False
C1orf173,False
RP11-17E13.2,False
CRYZ,False
TYW3,False
SLC44A5,False
RP4-682C21.5,False
ACADM,False
RABGGTB,False
MSH4,False
ST6GALNAC3,False
RP5-1102E8.3,False
ST6GALNAC5,False
RP4-564M11.2,False
PIGK,False
AK5,False
RP11-375A5.1,False
ZZZ3,False
USP33,False
FAM73A,False
NEXN-AS1,False
NEXN,True
FUBP1,False
DNAJB4,False
GIPC2,False
RP11-386I14.4,True
PTGFR,False
IFI44L,True
IFI44,False
ELTD1,False
RP5-887A10.1,True
LPHN2,False
RP4-601K24.1,False
RP11-170N11.1,False
RP11-475O6.1,False
RP5-836J3.1,False
TTLL7,False
RP11-486G15.2,False
PRKACB,False
SAMD13,False
RPF1,False
GNG5,False
CTBS,False
C1orf180,False
SSX2IP,False
LPAR3,False
MCOLN2,False
WDR63,False
MCOLN3,False
SYDE2,False
C1orf52,False
BCL10,False
RP11-131L23.1,False
DDAH1,False
RP11-131L23.2,False
RP11-290M5.4,False
CYR61,False
ZNHIT6,False
COL24A1,False
ODF2L,False
CLCA4,False
RP4-651E10.4,False
RP4-612B15.3,False
SH3GLB1,False
SEP15,False
HS2ST1,False
RP4-604K5.3,False
RP4-604K5.2,False
RP5-1052I5.2,False
LINC01140,False
LMO4,False
RP4-544H6.2,False
RP11-76N22.2,False
PKN2,False
GTF2B,False
CCBL2,False
RBMXL1,False
GBP3,False
GBP1,False
GBP2,False
GBP7,False
GBP4,False
GBP5,True
RP4-620F22.2,False
GBP6,False
LRRC8B,False
RP5-1007M22.2,False
LRRC8C,False
RP5-943J3.2,False
LRRC8D,False
RP11-302M6.5,False
ZNF326,False
RP4-665J23.1,False
RP4-665J23.4,False
ZNF644,False
HFM1,False
CDC7,False
TGFBR3,True
BRDT,False
EPHX4,False
BTBD8,False
KIAA1107,False
RP4-621B10.8,False
C1orf146,False
GLMN,False
RPAP2,False
GFI1,False
EVI5,False
RPL5,False
FAM69A,False
MTF2,False
TMED5,False
CCDC18,False
DR1,False
FNBP1L,False
BCAR3,False
RP5-1033H22.2,False
RP4-561L24.3,False
DNTTIP2,False
GCLM,False
ABCA4,False
ARHGAP29,False
RP11-148B18.3,False
ABCD3,False
F3,False
RP11-86H7.6,False
RP11-86H7.7,False
LINC01057,False
SLC44A3,False
CNN3,False
RP4-639F20.1,False
ALG14,False
RP11-313A24.1,False
TMEM56,False
TMEM56-RWDD3,False
RP11-57H12.3,False
RWDD3,False
PTBP2,True
DPYD,False
DPYD-AS1,False
DPYD-AS2,False
RP11-490G2.2,False
MIR137HG,False
SNX7,False
RP5-896L10.1,False
LPPR4,False
FRRS1,False
AGL,False
RP5-884G6.2,False
SLC35A3,False
HIAT1,False
RP4-714D9.2,False
SASS6,False
TRMT13,False
LRRC39,False
DBT,True
RP11-305E17.6,False
RTCA,False
CDC14A,False
RP5-837M10.4,False
GPR88,False
VCAM1,False
EXTL2,False
RP4-549L20.3,True
SLC30A7,True
DPH5,False
AC093157.1,True
RP11-421L21.2,False
RP11-421L21.3,False
RP4-575N6.4,False
S1PR1,False
RP11-157N3.1,False
OLFM3,False
COL11A1,False
RNPC3,False
AMY2B,False
AMY2A,False
AMY1B,False
RP11-364B6.1,False
PRMT6,False
NTNG1,False
VAV3,True
VAV3-AS1,False
RP11-356N1.2,False
SLC25A24,False
RP11-483I13.5,False
FAM102B,False
HENMT1,False
PRPF38B,False
FNDC7,False
STXBP3,False
AKNAD1,False
SPATA42,False
GPSM2,False
CLCC1,False
WDR47,False
TAF13,True
RP5-1065J22.8,False
TMEM167B,False
SCARNA2,False
C1orf194,False
KIAA1324,False
SARS,False
CELSR2,False
PSRC1,False
MYBPHL,False
SORT1,False
PSMA5,False
SYPL2,False
ATXN7L2,False
CYB561D1,False
AMIGO1,False
GPR61,False
GNAI3,False
RP5-1160K1.3,False
GNAT2,False
AMPD2,False
RP5-1160K1.6,False
GSTM4,False
GSTM2,False
GSTM1,False
AC000032.2,False
GSTM5,False
RP4-735C1.4,False
GSTM3,False
EPS8L3,False
RP11-195M16.1,False
RP11-195M16.3,False
CSF1,False
AHCYL1,False
STRIP1,False
RP4-773N10.4,False
ALX3,False
UBL4B,False
KCNC4-AS1,False
KCNC4,False
RP5-1074L1.1,False
RBM15,False
SLC16A4,False
RP5-1074L1.4,False
LAMTOR5-AS1,False
LAMTOR5,False
PROK1,False
KCNA2,False
RP11-284N8.3,False
KCNA3,False
CD53,False
RP11-96K19.2,False
LRIF1,False
RP11-96K19.5,False
DRAM2,False
CEPT1,False
RP5-1180E21.4,False
RP5-1180E21.5,True
DENND2D,False
CHI3L2,True
CHIA,False
PIFO,False
OVGP1,False
WDR77,False
ATP5F1,False
C1orf162,False
ADORA3,False
RAP1A,False
LINC01160,False
FAM212B,False
FAM212B-AS1,False
DDX20,False
KCND3,False
RP11-88H9.2,False
CTTNBP2NL,False
WNT2B,False
RP4-671G15.2,False
ST7L,False
CAPZA1,True
MOV10,False
RP11-426L16.3,False
RHOC,True
RP11-426L16.10,False
PPM1J,False
RP11-426L16.9,False
FAM19A3,False
RP11-426L16.8,False
RP3-522D1.1,False
SLC16A1,False
SLC16A1-AS1,False
RP11-389O22.1,False
RP11-31F15.2,False
LRIG2,False
MAGI3,False
PHTF1,True
RSBN1,False
RP5-1073O3.2,False
PTPN22,True
AP4B1-AS1,False
BCL2L15,False
AP4B1,False
DCLRE1B,False
RP5-1073O3.7,True
HIPK1,False
OLFML3,False
SYT6,False
TRIM33,False
BCAS2,False
DENND2C,False
AMPD1,False
NRAS,False
CSDE1,False
SIKE1,False
SYCP1,False
TSPAN2,False
RP4-666F24.3,False
VANGL1,False
NHLH2,False
RP11-12L8.1,False
SLC22A15,False
MAB21L3,False
ATP1A1,False
AL136376.1,False
RP4-655J12.4,False
RP4-655J12.5,False
RP5-1086K13.1,False
CD58,False
IGSF3,False
CD2,False
RP4-753F5.1,False
PTGFRN,False
CD101,False
RP11-27K13.3,False
TTF2,False
TRIM45,False
RP11-188D8.1,False
MAN1A2,False
AL157902.3,False
FAM46C,False
GDAP2,False
WDR3,False
SPAG17,False
TBX15,False
WARS2,False
WARS2-IT1,False
RP11-418J17.1,False
RP11-418J17.3,False
RP5-834N19.1,False
HAO2,False
ZNF697,False
PHGDH,False
REG4,False
ADAM30,False
NOTCH2,False
RP11-114O18.1,False
RP11-439A17.7,False
FAM72B,False
RP11-439A17.10,False
RP11-439A17.9,False
FCGR1B,False
RP11-343N15.1,False
RP11-343N15.5,False
AL592494.5,False
RP11-343N15.2,False
RP11-344P13.4,False
RP11-344P13.6,False
RP11-344P13.1,False
RP11-417J8.3,False
RP11-417J8.6,False
RP11-423O2.5,False
RP11-423O2.7,False
RP11-782C8.2,False
RP11-782C8.1,False
RP11-782C8.4,False
RP11-782C8.3,False
RP11-782C8.5,False
RP11-435B5.3,False
RP11-435B5.4,False
RP11-435B5.5,False
RP6-206I17.1,False
RP6-206I17.2,False
RP6-206I17.3,False
PPIAL4G,False
FAM72D,False
NBPF8,False
LINC00623,False
AL592284.1,False
RP11-640M9.1,False
NBPF9,False
RP4-791M13.3,False
PDE4DIP,False
RP4-791M13.4,False
AL590452.1,True
RP11-326G21.1,False
RP11-458D21.6,False
NOTCH2NL,False
RP11-458D21.5,False
NBPF10,False
RP11-458D21.1,False
TXNIP,False
POLR3GL,False
ANKRD34A,False
RP11-315I20.1,False
LIX1L,False
RBM8A,False
PEX11B,False
ITGA10,False
ANKRD35,False
PIAS3,False
NUDT17,False
POLR3C,False
RNF115,False
CD160,True
PDZK1,False
GPR89A,False
GPR89C,False
NBPF11,False
NBPF12,False
RP4-704D21.2,False
PRKAB2,False
RP11-337C18.8,False
FMO5,False
RP11-337C18.9,False
CHD1L,False
LINC00624,False
BCL9,False
ACP6,False
GPR89B,False
RP6-74O6.2,False
XXyac-YX155B6.7,False
RP6-74O6.3,False
NBPF24,False
XXyac-YX155B6.5,False
XXyac-YX155B6.6,False
RP11-495P10.6,False
RP11-495P10.8,False
RP11-495P10.5,False
RP11-495P10.3,False
RP6-74O6.6,False
LINC01138,False
RP11-495P10.1,False
NBPF14,False
PPIAL4D,False
RP11-89F3.2,False
NBPF20,False
NBPF15,False
RP11-666A1.5,False
NBPF16,False
RP11-763B22.4,False
RP11-763B22.6,False
RP11-14N7.2,False
RP11-403I13.5,False
RP11-403I13.4,False
LINC00869,False
RP11-403I13.8,False
RP11-403I13.9,False
RP5-998N21.4,False
HIST2H3PS2,False
FAM72C,False
RP11-277L2.4,False
RP11-277L2.3,False
RP11-277L2.5,False
RP11-353N4.1,False
RP11-353N4.5,False
RP11-353N4.4,False
FAM231D,False
FCGR1A,False
HIST2H2BF,False
RP11-196G18.3,False
HIST2H3D,False
RP11-196G18.23,False
HIST2H4A,False
HIST2H2AA3,True
RP11-196G18.24,False
HIST2H2AA4,False
HIST2H2BE,False
